PDF File,Status,ROI,Signature_box,Error Message
174485.pdf,Success,"[337, 541, 0, 128]","[[358.760498046875, 100.42240142822266, 509.04315185546875, 123.49934387207031]]",Processed successfully
175075.pdf,Success,"[380, 542, 0, 167]","[[452.6630859375, 112.54315185546875, 510.3418273925781, 133.53651428222656], [379.53289794921875, 115.17044830322266, 437.2999572753906, 149.73275756835938]]",Processed successfully
176005.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
176102.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
176437.pdf,Success,"[456, 542, 0, 166]","[[457.7464904785156, 116.7737045288086, 509.6153869628906, 134.02610778808594]]",Processed successfully
176568.pdf,Success,"[406, 543, 0, 169]","[[406.3208312988281, 119.80726623535156, 481.6697998046875, 142.10670471191406]]",Processed successfully
176649.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
177603.pdf,Success,"[394, 612, 0, 183]","[[389.90972900390625, 137.79917907714844, 561.4017944335938, 170.59384155273438]]",Processed successfully
177899.pdf,Success,"[378, 543, 0, 168]","[[377.79473876953125, 106.57456970214844, 417.39019775390625, 143.72532653808594], [428.6234436035156, 86.77983856201172, 500.58270263671875, 133.0745391845703]]",Processed successfully
178780.pdf,Success,"[377, 546, 0, 169]","[[434.114501953125, 101.9094467163086, 519.9448852539062, 149.2477569580078], [377.53485107421875, 113.7330322265625, 428.44085693359375, 137.69851684570312]]",Processed successfully
179011.pdf,Success,"[373, 542, 0, 164]","[[374.93115234375, 115.01612854003906, 522.2108764648438, 138.4207763671875]]",Processed successfully
179045.pdf,Success,"[337, 543, 0, 147]","[[334.0973815917969, 111.47551727294922, 495.3815612792969, 137.3075408935547]]",Processed successfully
179427.pdf,Failed,"[366, 544, 0, 169]",NA,Signature not detected
179663.pdf,Success,"[365, 544, 0, 165]","[[513.003173828125, 3.1838881969451904, 529.7852783203125, 14.493480682373047], [391.1012878417969, 110.61772155761719, 508.0370788574219, 132.2875213623047]]",Processed successfully
180119.pdf,Failed,"[374, 612, 0, 151]",NA,Signature not detected
180143.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
180850.pdf,Success,"[367, 544, 0, 169]","[[383.36724853515625, 105.78594207763672, 452.3345642089844, 142.0731201171875]]",Processed successfully
180973.pdf,Failed,"[336, 543, 0, 149]",NA,Signature not detected
181571.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
181644.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
182349.pdf,Failed,"[392, 545, 0, 169]",NA,Signature not detected
182470.pdf,Failed,NA,NAUnexpected error: 'NoneType' object has no attribute 'shape'
