PDF File,Status,ROI,Error Message
207911.pdf,Success,"[369, 542, 0, 188]",Processed successfully
207979.pdf,Success,"[380, 551, 0, 190]",Processed successfully
208365.pdf,Failed,NA,ROI not found or OCR error
208763.pdf,Failed,NA,ROI not found or OCR error
208789.pdf,Success,"[417, 544, 0, 188]",Processed successfully
208917.pdf,Success,"[397, 543, 0, 189]",Processed successfully
209515.pdf,Failed,NA,ROI not found or OCR error
210906.pdf,Failed,NA,ROI not found or OCR error
210980.pdf,Success,"[371, 543, 0, 186]",Processed successfully
211148.pdf,Failed,NA,ROI not found or OCR error
211376.pdf,Success,"[385, 612, 0, 184]",Processed successfully
211643.pdf,Success,"[369, 541, 0, 168]",Processed successfully
211805.pdf,Failed,NA,ROI not found or OCR error
213661.pdf,Failed,NA,ROI not found or OCR error
213849.pdf,Success,"[378, 542, 0, 188]",Processed successfully
214552.pdf,Success,"[470, 612, 0, 193]",Processed successfully
214837.pdf,Success,"[370, 542, 0, 192]",Processed successfully
215061.pdf,Success,"[364, 542, 0, 189]",Processed successfully
215095.pdf,Success,"[376, 545, 0, 188]",Processed successfully
215304.pdf,Failed,NA,ROI not found or OCR error
215736.pdf,Success,"[365, 543, 0, 188]",Processed successfully
216261.pdf,Success,"[362, 541, 0, 184]",Processed successfully
217306.pdf,Failed,NA,ROI not found or OCR error
217500.pdf,Success,"[378, 544, 0, 186]",Processed successfully
218433.pdf,Success,"[368, 543, 0, 171]",Processed successfully
218441.pdf,Success,"[382, 542, 0, 171]",Processed successfully
218506.pdf,Success,"[363, 541, 0, 187]",Processed successfully
219675.pdf,Success,"[366, 543, 0, 187]",Processed successfully
220008.pdf,Failed,NA,ROI not found or OCR error
220286.pdf,Failed,NA,ROI not found or OCR error
220765.pdf,Success,"[373, 548, 0, 186]",Processed successfully
220820.pdf,Success,"[365, 542, 0, 187]",Processed successfully
220935.pdf,Success,"[422, 548, 0, 187]",Processed successfully
220977.pdf,Success,"[364, 543, 0, 188]",Processed successfully
221826.pdf,Success,"[377, 545, 0, 187]",Processed successfully
222270.pdf,Failed,NA,ROI not found or OCR error
222848.pdf,Success,"[378, 543, 0, 188]",Processed successfully
223674.pdf,Success,"[370, 544, 0, 187]",Processed successfully
224400.pdf,Failed,NA,ROI not found or OCR error
224727.pdf,Success,"[365, 543, 0, 187]",Processed successfully
224743.pdf,Failed,NA,ROI not found or OCR error
227089.pdf,Success,"[374, 543, 0, 185]",Processed successfully
228251.pdf,Success,"[366, 543, 0, 187]",Processed successfully
235641.pdf,Failed,NA,ROI not found or OCR error
243078.pdf,Success,"[375, 547, 0, 188]",Processed successfully
248005.pdf,Failed,NA,ROI not found or OCR error
249527.pdf,Success,"[402, 612, 0, 191]",Processed successfully
249536.pdf,Success,"[372, 547, 0, 186]",Processed successfully
249562.pdf,Success,"[365, 543, 0, 177]",Processed successfully
249775.pdf,Failed,NA,ROI not found or OCR error
249802.pdf,Success,"[365, 542, 0, 187]",Processed successfully
249804.pdf,Failed,NA,ROI not found or OCR error
249940.pdf,Success,"[366, 544, 0, 186]",Processed successfully
249997.pdf,Failed,NA,ROI not found or OCR error
250008.pdf,Failed,NA,ROI not found or OCR error
250086.pdf,Failed,NA,ROI not found or OCR error
250219.pdf,Failed,NA,ROI not found or OCR error
250263.pdf,Failed,NA,ROI not found or OCR error
250264.pdf,Failed,NA,ROI not found or OCR error
250299.pdf,Failed,NA,ROI not found or OCR error
250350.pdf,Success,"[369, 542, 0, 188]",Processed successfully
250403.pdf,Success,"[414, 542, 0, 188]",Processed successfully
250433.pdf,Failed,NA,ROI not found or OCR error
250447.pdf,Failed,NA,ROI not found or OCR error
250471.pdf,Success,"[378, 543, 0, 187]",Processed successfully
250489.pdf,Failed,NA,ROI not found or OCR error
250490.pdf,Failed,NA,ROI not found or OCR error
250687.pdf,Success,"[377, 543, 0, 189]",Processed successfully
250751.pdf,Failed,NA,ROI not found or OCR error
250774.pdf,Success,"[368, 540, 0, 181]",Processed successfully
250845.pdf,Failed,NA,ROI not found or OCR error
250850.pdf,Failed,NA,ROI not found or OCR error
250922.pdf,Failed,NA,ROI not found or OCR error
250977.pdf,Success,"[385, 612, 0, 186]",Processed successfully
251041.pdf,Failed,NA,ROI not found or OCR error
251075.pdf,Success,"[413, 610, 0, 187]",Processed successfully
251118.pdf,Success,"[368, 543, 0, 192]",Processed successfully
251179.pdf,Failed,NA,ROI not found or OCR error
251269.pdf,Failed,NA,ROI not found or OCR error
251340.pdf,Success,"[371, 545, 0, 187]",Processed successfully
251351.pdf,Success,"[403, 543, 0, 189]",Processed successfully
251372.pdf,Success,"[364, 543, 0, 184]",Processed successfully
251439.pdf,Success,"[364, 543, 0, 182]",Processed successfully
251529.pdf,Success,"[366, 544, 0, 187]",Processed successfully
251598.pdf,Failed,NA,ROI not found or OCR error
251624.pdf,Failed,NA,ROI not found or OCR error
251732.pdf,Success,"[415, 544, 0, 187]",Processed successfully
251791.pdf,Failed,NA,ROI not found or OCR error
251894.pdf,Success,"[401, 543, 0, 186]",Processed successfully
251898.pdf,Failed,NA,ROI not found or OCR error
251906.pdf,Failed,NA,ROI not found or OCR error
251923.pdf,Failed,NA,ROI not found or OCR error
252001.pdf,Failed,NA,ROI not found or OCR error
252020.pdf,Success,"[380, 542, 0, 184]",Processed successfully
252092.pdf,Success,"[366, 544, 0, 186]",Processed successfully
252110.pdf,Success,"[371, 543, 0, 186]",Processed successfully
252208.pdf,Success,"[378, 543, 0, 189]",Processed successfully
252211.pdf,Failed,NA,ROI not found or OCR error
252249.pdf,Success,"[367, 543, 0, 183]",Processed successfully
252252.pdf,Failed,NA,ROI not found or OCR error
252311.pdf,Failed,NA,ROI not found or OCR error
252337.pdf,Failed,NA,ROI not found or OCR error
252341.pdf,Success,"[361, 543, 0, 185]",Processed successfully
252393.pdf,Failed,NA,ROI not found or OCR error
252501.pdf,Success,"[399, 612, 0, 191]",Processed successfully
252521.pdf,Failed,NA,ROI not found or OCR error
252607.pdf,Success,"[398, 612, 0, 189]",Processed successfully
252625.pdf,Success,"[359, 542, 0, 188]",Processed successfully
252744.pdf,Failed,NA,ROI not found or OCR error
252791.pdf,Failed,NA,ROI not found or OCR error
252815.pdf,Success,"[370, 543, 0, 186]",Processed successfully
252845.pdf,Success,"[364, 547, 0, 187]",Processed successfully
252856.pdf,Success,"[373, 543, 0, 186]",Processed successfully
252868.pdf,Success,"[391, 542, 0, 185]",Processed successfully
252888.pdf,Success,"[361, 542, 0, 183]",Processed successfully
252927.pdf,Success,"[382, 612, 0, 218]",Processed successfully
252988.pdf,Success,"[362, 543, 0, 186]",Processed successfully
252990.pdf,Failed,NA,ROI not found or OCR error
253042.pdf,Failed,NA,ROI not found or OCR error
253079.pdf,Failed,NA,ROI not found or OCR error
253097.pdf,Failed,NA,ROI not found or OCR error
253099.pdf,Success,"[363, 544, 0, 184]",Processed successfully
253214.pdf,Failed,NA,ROI not found or OCR error
253220.pdf,Failed,NA,ROI not found or OCR error
253244.pdf,Failed,NA,ROI not found or OCR error
253346.pdf,Failed,NA,ROI not found or OCR error
253430.pdf,Failed,NA,ROI not found or OCR error
253458.pdf,Success,"[366, 610, 0, 186]",Processed successfully
253459.pdf,Success,"[392, 547, 0, 187]",Processed successfully
253463.pdf,Success,"[365, 544, 0, 186]",Processed successfully
253473.pdf,Failed,NA,ROI not found or OCR error
253623.pdf,Failed,NA,ROI not found or OCR error
253633.pdf,Success,"[423, 612, 0, 212]",Processed successfully
253649.pdf,Failed,NA,ROI not found or OCR error
253657.pdf,Success,"[399, 612, 0, 189]",Processed successfully
253771.pdf,Success,"[367, 548, 0, 170]",Processed successfully
253794.pdf,Success,"[379, 540, 0, 188]",Processed successfully
253796.pdf,Failed,NA,ROI not found or OCR error
253808.pdf,Success,"[360, 541, 0, 188]",Processed successfully
253875.pdf,Success,"[376, 543, 0, 186]",Processed successfully
253891.pdf,Failed,NA,ROI not found or OCR error
253919.pdf,Failed,NA,ROI not found or OCR error
253937.pdf,Success,"[372, 544, 0, 185]",Processed successfully
253949.pdf,Failed,NA,ROI not found or OCR error
254054.pdf,Success,"[367, 546, 0, 189]",Processed successfully
254113.pdf,Success,"[378, 543, 0, 189]",Processed successfully
254114.pdf,Success,"[362, 539, 0, 188]",Processed successfully
254139.pdf,Success,"[366, 545, 0, 188]",Processed successfully
254148.pdf,Failed,NA,ROI not found or OCR error
254173.pdf,Success,"[384, 544, 0, 187]",Processed successfully
254191.pdf,Success,"[362, 610, 0, 186]",Processed successfully
254207.pdf,Failed,NA,ROI not found or OCR error
254245.pdf,Failed,NA,ROI not found or OCR error
254275.pdf,Success,"[364, 543, 0, 186]",Processed successfully
254288.pdf,Success,"[365, 543, 0, 187]",Processed successfully
254293.pdf,Success,"[367, 540, 0, 184]",Processed successfully
254310.pdf,Failed,NA,ROI not found or OCR error
254333.pdf,Success,"[361, 607, 0, 184]",Processed successfully
254347.pdf,Failed,NA,ROI not found or OCR error
254429.pdf,Success,"[382, 542, 0, 185]",Processed successfully
254552.pdf,Failed,NA,ROI not found or OCR error
254586.pdf,Success,"[377, 549, 0, 186]",Processed successfully
254594.pdf,Success,"[401, 612, 0, 190]",Processed successfully
254605.pdf,Failed,NA,ROI not found or OCR error
254617.pdf,Failed,NA,ROI not found or OCR error
254657.pdf,Success,"[366, 545, 0, 185]",Processed successfully
254662.pdf,Success,"[364, 543, 0, 184]",Processed successfully
254698.pdf,Failed,NA,ROI not found or OCR error
254743.pdf,Success,"[364, 542, 0, 188]",Processed successfully
254780.pdf,Success,"[364, 543, 0, 186]",Processed successfully
254785.pdf,Failed,NA,ROI not found or OCR error
254793.pdf,Failed,NA,ROI not found or OCR error
254866.pdf,Success,"[364, 543, 0, 186]",Processed successfully
254883.pdf,Success,"[390, 543, 0, 187]",Processed successfully
254927.pdf,Failed,NA,ROI not found or OCR error
254976.pdf,Failed,NA,ROI not found or OCR error
255002.pdf,Success,"[365, 542, 0, 185]",Processed successfully
255049.pdf,Failed,NA,ROI not found or OCR error
255065.pdf,Failed,NA,ROI not found or OCR error
255070.pdf,Failed,NA,ROI not found or OCR error
255081.pdf,Success,"[373, 542, 0, 187]",Processed successfully
255106.pdf,Success,"[378, 542, 0, 186]",Processed successfully
255145.pdf,Failed,NA,ROI not found or OCR error
255234.pdf,Success,"[380, 543, 0, 184]",Processed successfully
255261.pdf,Success,"[365, 542, 0, 185]",Processed successfully
