PDF File,Status,ROI,Signature_box,Error Message
151615.pdf,Success,"[368, 547, 0, 167]","[[437.0588073730469, 124.16681671142578, 519.8768310546875, 137.9876251220703], [393.1001892089844, 117.78134155273438, 431.9944152832031, 135.24465942382812]]",Processed successfully
151649.pdf,Success,"[373, 550, 0, 168]","[[373.7275390625, 145.75193786621094, 485.5362243652344, 167.88694763183594]]",Processed successfully
151924.pdf,Success,"[394, 542, 0, 166]","[[395.81683349609375, 109.9570083618164, 500.2778015136719, 143.509765625]]",Processed successfully
152475.pdf,Success,"[376, 544, 0, 167]","[[377.0110168457031, 3.986851930618286, 475.6236572265625, 20.27936553955078]]",Processed successfully
152572.pdf,Success,"[427, 610, 0, 185]","[[434.5107421875, 142.81314086914062, 543.6747436523438, 154.92767333984375]]",Processed successfully
153277.pdf,Success,"[344, 548, 0, 147]","[[375.3224792480469, 104.6766357421875, 515.6021728515625, 136.91445922851562]]",Processed successfully
153340.pdf,Success,"[349, 552, 0, 147]","[[376.17010498046875, 114.43842315673828, 523.514404296875, 139.94894409179688]]",Processed successfully
153829.pdf,Success,"[372, 543, 0, 171]","[[373.2160339355469, 107.91996765136719, 512.99072265625, 139.4801025390625]]",Processed successfully
154079.pdf,Success,"[414, 612, 0, 170]","[[433.1482849121094, 107.58475494384766, 516.2298583984375, 133.39102172851562]]",Processed successfully
154671.pdf,Success,"[386, 543, 0, 168]","[[415.1733703613281, 110.81372833251953, 508.0482177734375, 136.15261840820312]]",Processed successfully
155855.pdf,Success,"[398, 543, 0, 165]","[[397.4469909667969, 103.64734649658203, 494.3127136230469, 137.69989013671875]]",Processed successfully
156356.pdf,Success,"[345, 562, 0, 151]","[[378.2292785644531, 109.95684814453125, 521.2611694335938, 139.07029724121094]]",Processed successfully
156885.pdf,Success,"[432, 545, 0, 168]","[[433.2536926269531, 108.19541931152344, 510.4881286621094, 137.52267456054688]]",Processed successfully
157572.pdf,Success,"[366, 542, 0, 169]","[[388.8799743652344, 98.06210327148438, 493.720947265625, 143.84129333496094]]",Processed successfully
157946.pdf,Success,"[365, 546, 0, 165]","[[395.926025390625, 97.01986694335938, 522.2844848632812, 141.8228759765625], [368.63970947265625, 150.41062927246094, 452.9801940917969, 164.83323669433594]]",Processed successfully
158455.pdf,Success,"[382, 543, 0, 167]","[[388.4956359863281, 132.94097900390625, 499.924560546875, 166.5858612060547]]",Processed successfully
158536.pdf,Success,"[375, 543, 0, 167]","[[381.2092590332031, 104.24266815185547, 506.04681396484375, 135.01087951660156]]",Processed successfully
158879.pdf,Success,"[371, 543, 0, 170]","[[383.1482238769531, 107.43551635742188, 487.3033142089844, 138.26498413085938], [370.6873779296875, 133.9149932861328, 508.95635986328125, 171.02114868164062]]",Processed successfully
159215.pdf,Success,"[362, 540, 0, 166]","[[373.6963195800781, 105.59884643554688, 477.7483215332031, 134.76109313964844], [363.3771667480469, 136.5867156982422, 452.57275390625, 166.94976806640625], [359.6982727050781, 133.994873046875, 455.82403564453125, 167.64955139160156]]",Processed successfully
159312.pdf,Success,"[377, 542, 0, 168]","[[377.0986328125, 127.31105041503906, 486.6097412109375, 167.1761474609375]]",Processed successfully
159532.pdf,Success,"[340, 543, 0, 147]","[[368.9811096191406, 118.3976821899414, 502.5965881347656, 135.66482543945312], [465.9543151855469, 119.44113159179688, 502.5875549316406, 135.10934448242188]]",Processed successfully
160282.pdf,Success,"[362, 543, 0, 166]","[[363.6908874511719, 102.66629028320312, 481.1482849121094, 163.35687255859375], [485.32379150390625, 106.00460052490234, 510.6761474609375, 132.60694885253906]]",Processed successfully
160703.pdf,Success,"[336, 542, 0, 148]","[[414.4496765136719, 113.0448226928711, 503.87994384765625, 135.0968017578125], [372.0372619628906, 113.2156753540039, 407.48553466796875, 135.6120147705078], [341.9615173339844, 135.53546142578125, 361.2743835449219, 149.17774963378906]]",Processed successfully
160787.pdf,Success,"[406, 612, 0, 171]","[[406.4841613769531, 117.53558349609375, 519.4279174804688, 153.3555908203125], [408.0083312988281, 146.26812744140625, 477.261474609375, 171.33729553222656]]",Processed successfully
161547.pdf,Success,"[368, 545, 0, 167]","[[407.17620849609375, 114.04254913330078, 495.7791442871094, 134.83990478515625], [413.1570739746094, 146.64883422851562, 489.9421691894531, 166.7040557861328]]",Processed successfully
162111.pdf,Success,"[369, 550, 0, 168]","[[382.083984375, 113.9527359008789, 483.496826171875, 136.04429626464844], [370.25726318359375, 141.61647033691406, 408.5925598144531, 167.74072265625], [371.4234924316406, 136.94859313964844, 488.6430358886719, 166.79299926757812]]",Processed successfully
162250.pdf,Success,"[341, 544, 0, 148]","[[466.7254638671875, 26.053632736206055, 488.09490966796875, 47.6332893371582]]",Processed successfully
163206.pdf,Success,"[371, 545, 0, 169]","[[394.2221984863281, 92.80097198486328, 474.2433166503906, 169.91265869140625], [392.76715087890625, 148.66238403320312, 455.774658203125, 168.6463165283203]]",Processed successfully
163379.pdf,Success,"[340, 544, 0, 146]","[[427.2290344238281, 38.4063606262207, 524.3078002929688, 122.32906341552734], [429.0411682128906, 24.03948211669922, 522.2142944335938, 70.51033020019531]]",Processed successfully
163434.pdf,Success,"[406, 542, 0, 166]","[[415.2079162597656, 114.33633422851562, 515.8251342773438, 135.00942993164062]]",Processed successfully
164773.pdf,Success,"[365, 542, 0, 167]","[[386.8919372558594, 110.72075653076172, 498.5780334472656, 135.92214965820312]]",Processed successfully
165533.pdf,Success,"[387, 543, 0, 167]","[[387.2508544921875, 152.57247924804688, 483.5003356933594, 167.2697296142578]]",Processed successfully
165949.pdf,Success,"[337, 544, 0, 147]","[[370.9843444824219, 118.24542236328125, 427.6820068359375, 141.71702575683594], [432.1667175292969, 121.33360290527344, 505.0246887207031, 139.1689910888672], [385.4053039550781, 119.25557708740234, 502.3691711425781, 140.3560028076172]]",Processed successfully
166636.pdf,Success,"[409, 542, 0, 171]","[[408.859375, 113.84059143066406, 527.6447143554688, 142.27386474609375]]",Processed successfully
167446.pdf,Success,"[414, 610, 0, 201]","[[416.3953857421875, 142.73190307617188, 540.365234375, 172.1363067626953]]",Processed successfully
168028.pdf,Success,"[401, 612, 0, 170]","[[426.0522155761719, 117.1644515991211, 480.24957275390625, 139.3965301513672]]",Processed successfully
168361.pdf,Success,"[375, 549, 0, 167]","[[377.74139404296875, 113.82585144042969, 500.6051025390625, 136.52830505371094]]",Processed successfully
170083.pdf,Success,"[370, 541, 0, 165]","[[369.9430847167969, 99.62699890136719, 463.5728759765625, 130.62318420410156], [370.8388977050781, 96.85179138183594, 427.5799560546875, 124.83245086669922]]",Processed successfully
171704.pdf,Success,"[376, 546, 0, 168]","[[379.171142578125, 91.52049255371094, 473.5042419433594, 136.54408264160156], [517.8961791992188, 5.685127258300781, 540.5374145507812, 23.283971786499023]]",Processed successfully
171746.pdf,Success,"[366, 545, 0, 172]","[[365.0601501464844, 142.0768585205078, 474.8758239746094, 172.9643096923828], [401.77581787109375, 94.54872131347656, 513.23583984375, 143.6363983154297]]",Processed successfully
174485.pdf,Success,"[337, 541, 0, 128]","[[437.1031188964844, 100.07587432861328, 507.2449645996094, 121.95012664794922]]",Processed successfully
175075.pdf,Success,"[380, 542, 0, 167]","[[380.72076416015625, 117.14903259277344, 436.8578186035156, 151.53468322753906]]",Processed successfully
176437.pdf,Success,"[456, 542, 0, 166]","[[459.7685852050781, 116.64738464355469, 511.2752380371094, 134.76138305664062]]",Processed successfully
176568.pdf,Success,"[406, 543, 0, 169]","[[406.7769775390625, 137.065185546875, 493.75714111328125, 167.3970184326172]]",Processed successfully
177603.pdf,Success,"[394, 612, 0, 183]","[[399.25714111328125, 138.30303955078125, 562.8223266601562, 169.76136779785156]]",Processed successfully
177899.pdf,Success,"[378, 543, 0, 168]","[[378.6314697265625, 108.50100708007812, 415.7594909667969, 145.29185485839844], [425.695556640625, 87.80656433105469, 499.73095703125, 132.77957153320312]]",Processed successfully
178780.pdf,Success,"[377, 546, 0, 169]","[[378.6820983886719, 98.21797180175781, 514.33251953125, 155.26388549804688], [380.5088806152344, 113.51168060302734, 426.1859130859375, 136.59957885742188], [381.042236328125, 136.76080322265625, 486.71466064453125, 161.54400634765625]]",Processed successfully
179011.pdf,Success,"[373, 542, 0, 164]","[[376.77978515625, 114.60053253173828, 528.3255004882812, 138.9723663330078]]",Processed successfully
179427.pdf,Success,"[366, 544, 0, 169]","[[385.10137939453125, 18.376943588256836, 532.5933227539062, 95.83170318603516], [397.6011657714844, 8.929101943969727, 513.4105834960938, 29.92595672607422], [394.0588073730469, 110.9541015625, 467.4326171875, 137.292236328125]]",Processed successfully
179663.pdf,Success,"[365, 544, 0, 165]","[[396.1386413574219, 110.94754028320312, 511.497802734375, 133.30596923828125]]",Processed successfully
180850.pdf,Success,"[367, 544, 0, 169]","[[383.8602294921875, 105.69108581542969, 454.8290100097656, 140.30941772460938]]",Processed successfully
180973.pdf,Success,"[336, 543, 0, 149]","[[412.4505310058594, 20.39619255065918, 521.5797119140625, 120.26154327392578], [369.8701477050781, 122.59610748291016, 417.47479248046875, 141.05853271484375]]",Processed successfully
182349.pdf,Success,"[392, 545, 0, 169]","[[406.1133728027344, 112.41703033447266, 512.7142333984375, 137.20565795898438]]",Processed successfully
183175.pdf,Success,"[369, 541, 0, 167]","[[390.2510070800781, 112.6161117553711, 492.2785339355469, 134.67822265625]]",Processed successfully
184210.pdf,Success,"[370, 552, 0, 168]","[[382.5471496582031, 114.78952026367188, 521.8707275390625, 138.84837341308594]]",Processed successfully
188387.pdf,Success,"[365, 543, 0, 168]","[[379.3377990722656, 107.15438842773438, 514.7102661132812, 135.9550323486328]]",Processed successfully
188890.pdf,Success,"[364, 549, 0, 167]","[[389.1005859375, 108.59834289550781, 440.8478088378906, 139.67388916015625]]",Processed successfully
189105.pdf,Success,"[397, 543, 0, 169]","[[405.33319091796875, 113.2713851928711, 503.6595458984375, 134.75071716308594]]",Processed successfully
191233.pdf,Success,"[379, 545, 0, 170]","[[392.5318908691406, 143.3517303466797, 453.8065490722656, 168.02655029296875]]",Processed successfully
192297.pdf,Success,"[369, 549, 0, 172]","[[398.33929443359375, 107.83557891845703, 494.3702392578125, 141.27798461914062]]",Processed successfully
193201.pdf,Success,"[365, 543, 0, 165]","[[383.2711181640625, 117.70352172851562, 417.67974853515625, 134.68402099609375]]",Processed successfully
193471.pdf,Success,"[336, 542, 0, 149]","[[388.74810791015625, 115.32324981689453, 486.0576171875, 137.37586975097656], [369.9302673339844, 121.06327056884766, 385.13299560546875, 137.3986053466797]]",Processed successfully
193633.pdf,Success,"[377, 542, 0, 168]","[[378.83624267578125, 112.90158081054688, 498.8694763183594, 138.12168884277344]]",Processed successfully
193659.pdf,Success,"[382, 543, 0, 170]","[[381.4629821777344, 107.6729736328125, 463.6833190917969, 137.3788299560547], [383.33563232421875, 136.27215576171875, 489.9757080078125, 167.9779510498047], [379.826171875, 112.91848754882812, 489.0009460449219, 162.29257202148438]]",Processed successfully
194299.pdf,Success,"[380, 543, 0, 165]","[[379.77642822265625, 96.37825775146484, 493.6874694824219, 145.44366455078125]]",Processed successfully
195619.pdf,Success,"[373, 543, 0, 169]","[[396.4063415527344, 146.86460876464844, 480.5741271972656, 172.45994567871094]]",Processed successfully
195936.pdf,Success,"[365, 543, 0, 167]","[[388.093505859375, 106.73844146728516, 477.2253723144531, 137.90768432617188], [369.6053161621094, 136.97755432128906, 474.9778747558594, 166.59580993652344], [383.38824462890625, 104.47071838378906, 425.4852294921875, 123.27877044677734]]",Processed successfully
196225.pdf,Success,"[368, 540, 0, 168]","[[371.09661865234375, 100.33903503417969, 509.17462158203125, 137.55369567871094]]",Processed successfully
196372.pdf,Success,"[383, 544, 0, 169]","[[385.77362060546875, 151.36085510253906, 427.3648681640625, 169.9370574951172], [384.823486328125, 123.4614486694336, 523.2188110351562, 139.60653686523438]]",Processed successfully
196437.pdf,Success,"[380, 545, 0, 165]","[[380.5659484863281, 106.89166259765625, 466.2500305175781, 133.9007110595703], [382.60845947265625, 132.05491638183594, 523.4373168945312, 162.5517578125], [379.6732482910156, 131.02114868164062, 529.645751953125, 164.22418212890625]]",Processed successfully
196893.pdf,Success,"[377, 543, 0, 168]","[[377.5444030761719, 110.83048248291016, 486.8132629394531, 134.3406524658203]]",Processed successfully
197124.pdf,Success,"[376, 558, 0, 168]","[[378.78167724609375, 102.75546264648438, 521.44921875, 141.3200225830078], [456.51226806640625, 104.16138458251953, 525.7705688476562, 139.65621948242188]]",Processed successfully
197483.pdf,Success,"[371, 543, 0, 164]","[[427.0462951660156, 103.48570251464844, 493.1734619140625, 133.23374938964844], [371.0738220214844, 105.19041442871094, 421.42340087890625, 132.7819366455078]]",Processed successfully
198502.pdf,Success,"[381, 546, 0, 170]","[[403.88970947265625, 113.26725769042969, 484.7586364746094, 150.03372192382812]]",Processed successfully
198764.pdf,Success,"[367, 543, 0, 169]","[[389.0132751464844, 115.16321563720703, 482.7554626464844, 136.05401611328125]]",Processed successfully
198798.pdf,Success,"[418, 543, 0, 171]","[[418.5818786621094, 118.5975341796875, 489.18841552734375, 136.5039520263672]]",Processed successfully
199540.pdf,Success,"[368, 544, 0, 169]","[[393.2566223144531, 109.64049530029297, 472.6407470703125, 153.69662475585938], [367.67431640625, 154.49830627441406, 392.55157470703125, 171.1163330078125], [368.64715576171875, 151.6610107421875, 499.1347961425781, 169.5754852294922]]",Processed successfully
200498.pdf,Success,"[408, 612, 0, 153]","[[406.32513427734375, 94.72789001464844, 551.2842407226562, 148.02452087402344], [407.5091857910156, 121.28438568115234, 554.5759887695312, 148.45254516601562]]",Processed successfully
201012.pdf,Success,"[380, 545, 0, 167]","[[381.49786376953125, 115.82540893554688, 489.6226806640625, 135.37095642089844]]",Processed successfully
201127.pdf,Success,"[368, 543, 0, 169]","[[368.70684814453125, 148.76864624023438, 384.8455810546875, 169.65679931640625], [400.1871032714844, 112.00475311279297, 494.7749328613281, 146.1143798828125]]",Processed successfully
201711.pdf,Success,"[410, 612, 0, 173]","[[411.7669372558594, 109.9035873413086, 535.9365844726562, 154.52084350585938], [414.9238586425781, 154.2173614501953, 531.5983276367188, 173.02291870117188]]",Processed successfully
201965.pdf,Success,"[374, 554, 0, 169]","[[376.9071350097656, 110.03487396240234, 526.350341796875, 148.43284606933594]]",Processed successfully
202181.pdf,Success,"[335, 610, 0, 147]","[[366.3631591796875, 111.51766967773438, 517.783447265625, 137.96939086914062]]",Processed successfully
202220.pdf,Success,"[331, 539, 0, 150]","[[351.7704772949219, 112.30723571777344, 519.5660400390625, 137.30320739746094], [414.98529052734375, 23.074661254882812, 439.543701171875, 47.43043899536133]]",Processed successfully
203064.pdf,Success,"[367, 543, 0, 167]","[[384.07513427734375, 119.08102416992188, 489.8595886230469, 133.95620727539062]]",Processed successfully
203666.pdf,Success,"[380, 540, 0, 167]","[[381.55517578125, 111.60189056396484, 514.7264404296875, 138.43402099609375]]",Processed successfully
203909.pdf,Success,"[379, 544, 0, 166]","[[378.81982421875, 115.88914489746094, 484.20220947265625, 139.67703247070312]]",Processed successfully
